trialNumber,timestamp,position,speed,direction
0,1867335.3000000007,0.239,0.0007620926591069585,1
0,1867505.4000000004,0.24,0.005878894767796537,1
0,1867513.8000000007,0.243,0.3571428571270186,1
0,1867519.7000000011,0.244,0.16949152541302717,1
0,1867526.7000000011,0.246,0.285714285714286,1
0,1867533.7000000011,0.251,0.7142857142857149,1
0,1867540.6000000015,0.254,0.43478260867217877,1
0,1867547.6000000015,0.259,0.7142857142857149,1
0,1867554.6000000015,0.264,0.7142857142857149,1
0,1867561.5,0.269,0.7246376813159129,1
0,1867568.8000000007,0.272,0.41095890406764585,1
0,1867576,0.277,0.6944444445163064,1
0,1867582.4000000004,0.282,0.7812499999545173,1
0,1867589.3000000007,0.287,0.7246376811202979,1
0,1867596.2000000011,0.289,0.2898550724481192,1
0,1867603.1000000015,0.293,0.5797101448962384,1
0,1867610.1000000015,0.297,0.571428571428572,1
0,1867616.9000000004,0.302,0.7352941177679059,1
0,1867623.9000000004,0.305,0.42857142857142894,1
0,1867631.1000000015,0.309,0.5555555554693226,1
0,1867638,0.313,0.5797101450527303,1
0,1867644.9000000004,0.317,0.5797101448962384,1
0,1867651.7000000011,0.319,0.2941176470265981,1
0,1867658.7000000011,0.323,0.571428571428572,1
0,1867665.7000000011,0.326,0.42857142857142894,1
0,1867672.6000000015,0.328,0.2898550724481192,1
0,1867679.5,0.33,0.28985507252636517,1
0,1867686.4000000004,0.331,0.1449275362240596,1
0,1867693.4000000004,0.333,0.285714285714286,1
0,1867754.4000000004,0.334,0.016393442622950834,1
0,1867776.6000000015,0.336,0.09009009008555488,1
0,1867783.6000000015,0.337,0.142857142857143,1
0,1867790.6000000015,0.339,0.285714285714286,1
0,1867797.6000000015,0.341,0.285714285714286,1
0,1867804.6000000015,0.342,0.142857142857143,1
0,1867811.5,0.346,0.5797101450527222,1
0,1867818.5,0.35,0.571428571428572,1
0,1867826.2000000011,0.356,0.7792207791076828,1
0,1867832.6000000015,0.358,0.3124999999818104,1
0,1867839.2000000011,0.367,1.3636363637133337,1
0,1867846.3000000007,0.373,0.8450704225795519,1
0,1867853.1000000015,0.383,1.4705882351329904,1
0,1867860.1000000015,0.392,1.285714285714287,1
0,1867867.3000000007,0.404,1.6666666668391352,1
0,1867874.1000000015,0.414,1.4705882351329822,1
0,1867881,0.426,1.7391304351581909,1
0,1867887.9000000004,0.437,1.5942028984646555,1
0,1867895,0.451,1.9718309860189545,1
0,1867901.8000000007,0.466,2.2058823526994855,1
0,1867908.7000000011,0.479,1.8840579709127665,1
0,1867915.7000000011,0.491,1.7142857142857157,1
0,1867922.6000000015,0.501,1.4492753622405958,1
0,1867929.6000000015,0.511,1.4285714285714297,1
0,1867936.5,0.521,1.4492753626318258,1
0,1867943.5,0.53,1.285714285714287,1
0,1867950.4000000004,0.539,1.3043478260165362,1
0,1867957.4000000004,0.547,1.142857142857144,1
0,1867964.4000000004,0.554,1.0000000000000009,1
0,1867971.2000000011,0.56,0.8823529410797942,1
0,1867978.3000000007,0.569,1.2676056338693122,1
0,1867985.2000000011,0.575,0.8695652173443575,1
0,1867992.2000000011,0.582,1.0000000000000009,1
0,1867999.1000000015,0.589,1.0144927535684172,1
0,1868006.1000000015,0.594,0.7142857142857149,1
0,1868013,0.601,1.014492753842278,1
0,1868019.8000000007,0.607,0.8823529410797942,1
0,1868026.9000000004,0.613,0.8450704225795519,1
0,1868033.7000000011,0.619,0.8823529410797942,1
0,1868040.7000000011,0.623,0.571428571428572,1
0,1868047.7000000011,0.628,0.7142857142857149,1
0,1868054.6000000015,0.633,0.7246376811202979,1
0,1868061.5,0.637,0.5797101450527303,1
0,1868068.4000000004,0.64,0.43478260867217877,1
0,1868076.1000000015,0.644,0.519480519405122,1
0,1868082.5,0.648,0.6250000001455197,1
0,1868089.7000000011,0.651,0.41666666660199186,1
0,1868096.4000000004,0.655,0.5970149254395245,1
0,1868103.2000000011,0.659,0.5882352940531962,1
